item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,object,nonfinal,6,0,As,20.799320220947266
critical,1,ambiguous,short,object,nonfinal,6,1,the,4.015208721160889
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,19.956824779510494
critical,1,ambiguous,short,object,nonfinal,6,3,watched,7.7338480949401855
critical,1,ambiguous,short,object,nonfinal,6,4,the,2.121668815612793
critical,1,ambiguous,short,object,nonfinal,6,5,kids,5.363731384277344
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,12.548277854919434
critical,1,ambiguous,short,object,nonfinal,6,7,each,8.07867431640625
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0492833480238914
critical,1,ambiguous,short,object,nonfinal,6,9,with,3.6115834712982178
critical,1,ambiguous,short,object,nonfinal,6,10,water.,6.669159531593323
critical,1,ambiguous,long,object,nonfinal,8,0,As,20.799320220947266
critical,1,ambiguous,long,object,nonfinal,8,1,the,4.015208721160889
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,19.956824779510494
critical,1,ambiguous,long,object,nonfinal,8,3,watched,7.7338480949401855
critical,1,ambiguous,long,object,nonfinal,8,4,the,2.121668815612793
critical,1,ambiguous,long,object,nonfinal,8,5,kids,5.363731384277344
critical,1,ambiguous,long,object,nonfinal,8,6,playing,5.769954681396484
critical,1,ambiguous,long,object,nonfinal,8,7,happily,8.200407981872559
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,21.517796516418457
critical,1,ambiguous,long,object,nonfinal,8,9,each,10.322139739990234
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.0790487304329872
critical,1,ambiguous,long,object,nonfinal,8,11,with,2.812373161315918
critical,1,ambiguous,long,object,nonfinal,8,12,water.,5.126255422830582
critical,1,unambiguous,short,object,nonfinal,8,0,As,20.799320220947266
critical,1,unambiguous,short,object,nonfinal,8,1,the,4.015208721160889
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,19.956824779510494
critical,1,unambiguous,short,object,nonfinal,8,3,watched,7.7338480949401855
critical,1,unambiguous,short,object,nonfinal,8,4,the,2.121668815612793
critical,1,unambiguous,short,object,nonfinal,8,5,pool,8.677389144897461
critical,1,unambiguous,short,object,nonfinal,8,6,the,8.698187828063965
critical,1,unambiguous,short,object,nonfinal,8,7,kids,5.660980701446533
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,5.896825388073921
critical,1,unambiguous,short,object,nonfinal,8,9,each,7.566710948944092
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.0772353410720825
critical,1,unambiguous,short,object,nonfinal,8,11,with,3.520894765853882
critical,1,unambiguous,short,object,nonfinal,8,12,water.,2.744606554508209
critical,1,unambiguous,long,object,nonfinal,10,0,As,20.799320220947266
critical,1,unambiguous,long,object,nonfinal,10,1,the,4.015208721160889
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,19.956824779510494
critical,1,unambiguous,long,object,nonfinal,10,3,watched,7.7338480949401855
critical,1,unambiguous,long,object,nonfinal,10,4,the,2.121668815612793
critical,1,unambiguous,long,object,nonfinal,10,5,pool,8.677389144897461
critical,1,unambiguous,long,object,nonfinal,10,6,the,8.698187828063965
critical,1,unambiguous,long,object,nonfinal,10,7,kids,5.660980701446533
critical,1,unambiguous,long,object,nonfinal,10,8,playing,7.364178657531738
critical,1,unambiguous,long,object,nonfinal,10,9,happily,6.800196647644043
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,9.6118243932724
critical,1,unambiguous,long,object,nonfinal,10,11,each,5.846369743347168
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.0662202015519142
critical,1,unambiguous,long,object,nonfinal,10,13,with,3.4337422847747803
critical,1,unambiguous,long,object,nonfinal,10,14,water.,2.338419198989868
critical,2,ambiguous,short,comma,nonfinal,6,0,Because,23.04510307312012
critical,2,ambiguous,short,comma,nonfinal,6,1,the,2.1916396617889404
critical,2,ambiguous,short,comma,nonfinal,6,2,suspect,14.620759963989258
critical,2,ambiguous,short,comma,nonfinal,6,3,changed,11.048833847045898
critical,2,ambiguous,short,comma,nonfinal,6,4,the,2.606858015060425
critical,2,ambiguous,short,comma,nonfinal,6,5,file,12.145702362060549
critical,2,ambiguous,short,comma,nonfinal,6,6,needed,16.14358139038086
critical,2,ambiguous,short,comma,nonfinal,6,7,to,0.958532214164734
critical,2,ambiguous,short,comma,nonfinal,6,8,be,2.621469736099243
critical,2,ambiguous,short,comma,nonfinal,6,9,updated.,11.25532078742981
critical,2,ambiguous,long,comma,nonfinal,9,0,Because,23.04510307312012
critical,2,ambiguous,long,comma,nonfinal,9,1,the,2.1916396617889404
critical,2,ambiguous,long,comma,nonfinal,9,2,suspect,14.620759963989258
critical,2,ambiguous,long,comma,nonfinal,9,3,changed,11.048833847045898
critical,2,ambiguous,long,comma,nonfinal,9,4,the,2.606858015060425
