item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,object,nonfinal,6,0,As,18.902088165283203
critical,1,ambiguous,short,object,nonfinal,6,1,the,2.568919897079468
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,23.027822077274323
critical,1,ambiguous,short,object,nonfinal,6,3,watched,14.568367004394531
critical,1,ambiguous,short,object,nonfinal,6,4,the,3.2557499408721924
critical,1,ambiguous,short,object,nonfinal,6,5,kids,9.313765525817873
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,15.43412435054779
critical,1,ambiguous,short,object,nonfinal,6,7,each,9.786093711853027
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.1713552623987198
critical,1,ambiguous,short,object,nonfinal,6,9,with,5.024600982666016
critical,1,ambiguous,short,object,nonfinal,6,10,water.,8.868383407592773
critical,1,ambiguous,long,object,nonfinal,8,0,As,18.902088165283203
critical,1,ambiguous,long,object,nonfinal,8,1,the,2.568919897079468
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,23.027822077274323
critical,1,ambiguous,long,object,nonfinal,8,3,watched,14.568367004394531
critical,1,ambiguous,long,object,nonfinal,8,4,the,3.2557499408721924
critical,1,ambiguous,long,object,nonfinal,8,5,kids,9.313765525817873
critical,1,ambiguous,long,object,nonfinal,8,6,playing,8.75496768951416
critical,1,ambiguous,long,object,nonfinal,8,7,happily,11.443642616271973
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,20.080089330673218
critical,1,ambiguous,long,object,nonfinal,8,9,each,8.72397232055664
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.1040811464190483
critical,1,ambiguous,long,object,nonfinal,8,11,with,3.798873901367188
critical,1,ambiguous,long,object,nonfinal,8,12,water.,10.194669008255005
critical,1,unambiguous,short,object,nonfinal,8,0,As,18.902088165283203
critical,1,unambiguous,short,object,nonfinal,8,1,the,2.568919897079468
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,23.027822077274323
critical,1,unambiguous,short,object,nonfinal,8,3,watched,14.568367004394531
critical,1,unambiguous,short,object,nonfinal,8,4,the,3.2557499408721924
critical,1,unambiguous,short,object,nonfinal,8,5,pool,11.393275260925291
critical,1,unambiguous,short,object,nonfinal,8,6,the,9.092219352722168
critical,1,unambiguous,short,object,nonfinal,8,7,kids,9.23398780822754
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,13.323443531990051
critical,1,unambiguous,short,object,nonfinal,8,9,each,9.98280906677246
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.2137978225946426
critical,1,unambiguous,short,object,nonfinal,8,11,with,4.364540100097656
critical,1,unambiguous,short,object,nonfinal,8,12,water.,7.132288455963135
critical,1,unambiguous,long,object,nonfinal,10,0,As,18.902088165283203
critical,1,unambiguous,long,object,nonfinal,10,1,the,2.568919897079468
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,23.027822077274323
critical,1,unambiguous,long,object,nonfinal,10,3,watched,14.568367004394531
critical,1,unambiguous,long,object,nonfinal,10,4,the,3.2557499408721924
critical,1,unambiguous,long,object,nonfinal,10,5,pool,11.393275260925291
critical,1,unambiguous,long,object,nonfinal,10,6,the,9.092219352722168
critical,1,unambiguous,long,object,nonfinal,10,7,kids,9.23398780822754
critical,1,unambiguous,long,object,nonfinal,10,8,playing,9.219722747802734
critical,1,unambiguous,long,object,nonfinal,10,9,happily,10.882204055786133
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,18.83569383621216
critical,1,unambiguous,long,object,nonfinal,10,11,each,8.426522254943848
